SPX,GLD,USO,SLV,EUR/USD
1413.48999,160.539993,36.220001,28.92,1.253447
2085.449951,120.900002,11.74,16.42,1.132824
1245.359985,94.440002,109.25,18.545,1.58559
805.219971,84.519997,28.66,11.09,1.288494
2328.949951,122.599998,11.13,17.530001,1.061639
2590.639893,121.209999,11.49,16.01,1.161265
2358.570068,119.040001,10.15,17.18,1.081771
835.190002,93.169998,26.129999,13.33,1.289092
1496.939941,156.220001,33.330002,28.41,1.306506
1319.98999,152.619995,29.809999,26.299999,1.248751
2629.27002,120.07,11.2,15.1,1.183292
1472.630005,162.649994,34.279999,30.450001,1.330849
2181.73999,127.959999,10.07,18.870001,1.11158
1979.920044,109.860001,15.74,15.07,1.126799
2263.689941,114.769997,11.17,16.120001,1.062778
2046.680054,111.089996,17.379999,14.46,1.107101
1428.47998,165.770004,31.780001,32.369999,1.301321
1831.369995,119.290001,33.75,19.42,1.366662
2052.51001,111.690002,14.51,15.11,1.108095
1271.829956,147.770004,38.259998,33.869999,1.441691
1310.5,88.169998,70.550003,15.902,1.464794
1044.140015,97.699997,37.369999,16.41,1.458002
2378.25,116.989998,10.33,16.469999,1.07747
909.710022,90.360001,32.709999,13.58,1.363234
1574.569946,132.800003,31.76,22.67,1.31787
1361.219971,150.410004,44.93,42.830002,1.482382
1936.920044,125.959999,36.220001,19.23,1.338491
1091.48999,115.059998,38.5,17.950001,1.499093
1412.160034,166.830002,31.780001,31.27,1.29626
2133.040039,121.010002,11.21,16.73,1.090037
2076.330078,116.110001,19.059999,16.15,1.082415
1063.410034,101.849998,40.59,16.34,1.481701
1683.420044,127.669998,38.869999,21.059999,1.329893
1851.859985,114.459999,7.96,14.55,1.128999
2098.860107,126.470001,11.57,17.860001,1.110605
1343.22998,168.110001,39.18,32.450001,1.31337
1097.910034,104.230003,40.759998,17.440001,1.493451
2095.149902,119.040001,11.14,16.379999,1.132901
2097.449951,115.940002,19.1,15.7,1.140004
2275.320068,113.5,11.37,15.87,1.055242
1514.680054,153.0,33.060001,27.540001,1.315097
1306.329956,140.029999,40.48,33.869999,1.382151
2045.170044,117.660004,9.13,14.42,1.1382
873.289978,73.300003,46.18,9.36,1.2597
1279.209961,138.369995,40.970001,34.27,1.403292
